id,id_pais,id_material,fecha,id_vendedor,id_comprador,venta
1,1,1,2015-01-05 00:00:00,19,121,885
2,1,1,2015-01-05 00:00:00,13,80,188
3,1,1,2015-01-06 00:00:00,17,79,14
4,1,1,2015-01-06 00:00:00,18,91,256
5,1,1,2015-01-08 00:00:00,10,24,619
6,1,1,2015-01-08 00:00:00,4,211,485
7,1,1,2015-01-08 00:00:00,11,43,42
8,1,1,2015-01-12 00:00:00,15,10,866
9,1,1,2015-01-14 00:00:00,17,21,65
10,1,1,2015-01-14 00:00:00,2,224,806
11,1,1,2015-01-16 00:00:00,16,230,1584
12,1,1,2015-01-16 00:00:00,19,241,36
13,1,1,2015-01-16 00:00:00,7,116,6
14,1,1,2015-01-19 00:00:00,7,234,1199
15,1,2,2015-01-04 00:00:00,3,85,630
16,1,2,2015-01-05 00:00:00,3,67,249
17,1,2,2015-01-05 00:00:00,18,30,19
18,1,2,2015-01-06 00:00:00,5,120,16
19,1,2,2015-01-06 00:00:00,1,94,3
20,1,2,2015-01-06 00:00:00,9,232,9
21,1,2,2015-01-08 00:00:00,17,238,645
22,1,2,2015-01-08 00:00:00,16,213,287
23,1,2,2015-01-08 00:00:00,14,111,17
24,1,2,2015-01-10 00:00:00,12,76,184
25,1,2,2015-01-11 00:00:00,15,83,137
26,1,2,2015-01-11 00:00:00,9,173,29
27,1,2,2015-01-15 00:00:00,12,151,608
28,1,2,2015-01-15 00:00:00,4,145,876
29,1,2,2015-01-15 00:00:00,12,111,836
30,1,2,2015-01-15 00:00:00,1,115,52
31,1,2,2015-01-16 00:00:00,19,113,39
32,1,2,2015-01-16 00:00:00,18,161,20
33,1,2,2015-01-16 00:00:00,14,132,2
34,1,2,2015-01-16 00:00:00,1,53,1
35,1,2,2015-01-17 00:00:00,10,166,294
36,1,2,2015-01-17 00:00:00,9,230,0
37,1,2,2015-01-17 00:00:00,5,106,1
38,1,2,2015-01-17 00:00:00,2,119,0
39,1,2,2015-01-19 00:00:00,17,234,3
40,1,2,2015-01-19 00:00:00,15,33,1
41,1,2,2015-01-19 00:00:00,6,236,1
42,1,2,2015-01-19 00:00:00,12,111,0
43,1,3,2015-01-07 00:00:00,11,56,960
44,1,3,2015-01-07 00:00:00,14,80,70
45,1,3,2015-01-07 00:00:00,16,157,111
46,1,3,2015-01-08 00:00:00,13,68,648
47,1,3,2015-01-08 00:00:00,19,191,21
48,1,3,2015-01-08 00:00:00,15,160,357
49,1,3,2015-01-09 00:00:00,3,3,673
50,1,3,2015-01-09 00:00:00,5,179,0
51,1,3,2015-01-09 00:00:00,11,203,0
52,1,3,2015-01-09 00:00:00,14,142,0
53,1,3,2015-01-10 00:00:00,6,125,44
54,1,3,2015-01-10 00:00:00,18,131,110
55,1,3,2015-01-11 00:00:00,3,3,432
56,1,3,2015-01-13 00:00:00,17,61,9
57,1,3,2015-01-14 00:00:00,7,196,239
58,1,3,2015-01-15 00:00:00,19,97,74
59,1,3,2015-01-15 00:00:00,3,92,1
60,1,3,2015-01-15 00:00:00,7,13,0
61,1,3,2015-01-15 00:00:00,1,107,0
62,1,3,2015-01-16 00:00:00,2,164,0
63,1,3,2015-01-16 00:00:00,9,156,0
64,1,3,2015-01-18 00:00:00,16,74,1080
65,1,3,2015-01-19 00:00:00,3,99,725
66,1,3,2015-01-19 00:00:00,3,177,81
67,1,3,2015-01-19 00:00:00,7,203,157
68,1,3,2015-01-19 00:00:00,9,55,17
69,1,3,2015-01-20 00:00:00,9,99,36
70,1,3,2015-01-20 00:00:00,2,55,1
71,1,3,2015-01-20 00:00:00,16,63,2
72,1,3,2015-01-20 00:00:00,2,68,0
73,1,4,2015-01-05 00:00:00,11,230,28
74,1,4,2015-01-05 00:00:00,10,103,898
75,1,4,2015-01-05 00:00:00,12,174,309
76,1,4,2015-01-08 00:00:00,16,38,48
77,1,4,2015-01-08 00:00:00,17,191,161
78,1,4,2015-01-12 00:00:00,14,114,341
79,1,4,2015-01-13 00:00:00,18,50,435
80,1,4,2015-01-17 00:00:00,17,240,2152
81,1,4,2015-01-19 00:00:00,3,241,817
82,1,4,2015-01-20 00:00:00,19,90,17
