id,id_pais,id_material,fecha,stock
1,1,1,2021-01-01 00:00:00,10
2,1,1,2021-01-02 00:00:00,30
3,1,1,2021-01-03 00:00:00,30
4,1,1,2021-01-04 00:00:00,110
5,1,1,2021-01-05 00:00:00,130
6,1,1,2021-01-06 00:00:00,200
7,1,1,2021-01-07 00:00:00,200
8,1,1,2021-01-08 00:00:00,200
9,1,1,2021-01-09 00:00:00,200
10,1,1,2021-01-10 00:00:00,200
11,1,1,2021-01-11 00:00:00,200
12,1,1,2021-01-12 00:00:00,200
13,1,1,2021-01-13 00:00:00,200
14,1,1,2021-01-14 00:00:00,200
15,1,1,2021-01-15 00:00:00,200
16,1,1,2021-01-16 00:00:00,200
17,1,1,2021-01-17 00:00:00,200
18,1,1,2021-01-18 00:00:00,200
19,1,1,2021-01-19 00:00:00,200
20,1,1,2021-01-20 00:00:00,200
21,1,1,2021-01-21 00:00:00,200
22,1,1,2021-01-22 00:00:00,200
23,1,1,2021-01-23 00:00:00,200
24,1,1,2021-01-24 00:00:00,200
25,1,1,2021-01-25 00:00:00,200
26,1,1,2021-01-26 00:00:00,200
27,1,1,2021-01-27 00:00:00,200
28,1,1,2021-01-28 00:00:00,200
29,1,1,2021-01-29 00:00:00,200
30,1,1,2021-01-30 00:00:00,200
31,1,1,2021-01-31 00:00:00,200
32,1,1,2021-02-01 00:00:00,200
33,1,1,2021-02-02 00:00:00,200
34,1,1,2021-02-03 00:00:00,200
35,1,1,2021-02-04 00:00:00,200
36,1,1,2021-02-05 00:00:00,200
37,1,1,2021-02-06 00:00:00,200
38,1,1,2021-02-07 00:00:00,200
39,1,1,2021-02-08 00:00:00,200
40,1,1,2021-02-09 00:00:00,200
41,1,1,2021-02-10 00:00:00,200
42,1,1,2021-02-11 00:00:00,200
43,1,1,2021-02-12 00:00:00,200
44,1,1,2021-02-13 00:00:00,200
45,1,1,2021-02-14 00:00:00,200
46,1,1,2021-02-15 00:00:00,174
47,1,1,2021-02-16 00:00:00,174
48,1,1,2021-02-17 00:00:00,174
49,1,1,2021-02-18 00:00:00,174
50,1,1,2021-02-19 00:00:00,174
51,1,1,2021-02-20 00:00:00,174
52,1,1,2021-02-21 00:00:00,174
53,1,1,2021-02-22 00:00:00,174
54,1,1,2021-02-23 00:00:00,174
55,1,1,2021-02-24 00:00:00,174
56,1,1,2021-02-25 00:00:00,174
57,1,1,2021-02-26 00:00:00,174
58,1,1,2021-02-27 00:00:00,174
59,1,1,2021-02-28 00:00:00,174
60,1,1,2021-03-01 00:00:00,174
61,1,1,2021-03-02 00:00:00,174
62,1,1,2021-03-03 00:00:00,174
63,1,1,2021-03-04 00:00:00,174
64,1,1,2021-03-05 00:00:00,174
65,1,1,2021-03-06 00:00:00,174
66,1,1,2021-03-07 00:00:00,174
67,1,1,2021-03-08 00:00:00,174
68,1,1,2021-03-09 00:00:00,174
69,1,1,2021-03-10 00:00:00,116
70,1,1,2021-03-11 00:00:00,196
71,1,1,2021-03-12 00:00:00,196
72,1,1,2021-03-13 00:00:00,196
73,1,1,2021-03-14 00:00:00,196
74,1,1,2021-03-15 00:00:00,196
75,1,1,2021-03-16 00:00:00,196
76,1,1,2021-03-17 00:00:00,196
77,1,1,2021-03-18 00:00:00,196
