id,id_pais,id_material,fecha,largo
1,1,1,2015-01-01 00:00:00,110
2,1,1,2015-01-02 00:00:00,290
3,1,1,2015-01-03 00:00:00,880
4,1,1,2015-01-04 00:00:00,840
5,1,1,2015-01-05 00:00:00,0
6,1,1,2015-01-06 00:00:00,0
7,1,1,2015-01-07 00:00:00,590
8,1,1,2015-01-08 00:00:00,0
9,1,1,2015-01-09 00:00:00,440
10,1,1,2015-01-10 00:00:00,250
11,1,1,2015-01-11 00:00:00,840
12,1,1,2015-01-12 00:00:00,970
13,1,1,2015-01-13 00:00:00,0
14,1,1,2015-01-14 00:00:00,0
15,1,1,2015-01-15 00:00:00,0
16,1,1,2015-01-16 00:00:00,0
17,1,1,2015-01-17 00:00:00,180
18,1,1,2015-01-18 00:00:00,0
19,1,1,2015-01-19 00:00:00,0
20,1,1,2015-01-20 00:00:00,240
21,1,2,2015-01-01 00:00:00,0
22,1,2,2015-01-02 00:00:00,80
23,1,2,2015-01-03 00:00:00,160
24,1,2,2015-01-04 00:00:00,410
25,1,2,2015-01-05 00:00:00,0
26,1,2,2015-01-06 00:00:00,0
27,1,2,2015-01-07 00:00:00,0
28,1,2,2015-01-08 00:00:00,700
29,1,2,2015-01-09 00:00:00,440
30,1,2,2015-01-10 00:00:00,0
31,1,2,2015-01-11 00:00:00,0
32,1,2,2015-01-12 00:00:00,0
33,1,2,2015-01-13 00:00:00,0
34,1,2,2015-01-14 00:00:00,810
35,1,2,2015-01-15 00:00:00,0
36,1,2,2015-01-16 00:00:00,720
37,1,2,2015-01-17 00:00:00,0
38,1,2,2015-01-18 00:00:00,0
39,1,2,2015-01-19 00:00:00,980
40,1,2,2015-01-20 00:00:00,740
41,1,3,2015-01-01 00:00:00,0
42,1,3,2015-01-02 00:00:00,0
43,1,3,2015-01-03 00:00:00,0
44,1,3,2015-01-04 00:00:00,690
45,1,3,2015-01-05 00:00:00,730
46,1,3,2015-01-06 00:00:00,760
47,1,3,2015-01-07 00:00:00,310
48,1,3,2015-01-08 00:00:00,0
49,1,3,2015-01-09 00:00:00,0
50,1,3,2015-01-10 00:00:00,520
51,1,3,2015-01-11 00:00:00,0
52,1,3,2015-01-12 00:00:00,0
53,1,3,2015-01-13 00:00:00,270
54,1,3,2015-01-14 00:00:00,0
55,1,3,2015-01-15 00:00:00,0
56,1,3,2015-01-16 00:00:00,500
57,1,3,2015-01-17 00:00:00,590
58,1,3,2015-01-18 00:00:00,90
59,1,3,2015-01-19 00:00:00,300
60,1,3,2015-01-20 00:00:00,710
61,1,4,2015-01-01 00:00:00,50
62,1,4,2015-01-02 00:00:00,300
63,1,4,2015-01-03 00:00:00,0
64,1,4,2015-01-04 00:00:00,0
65,1,4,2015-01-05 00:00:00,820
66,1,4,2015-01-06 00:00:00,750
67,1,4,2015-01-07 00:00:00,480
68,1,4,2015-01-08 00:00:00,370
69,1,4,2015-01-09 00:00:00,980
70,1,4,2015-01-10 00:00:00,0
71,1,4,2015-01-11 00:00:00,0
72,1,4,2015-01-12 00:00:00,630
73,1,4,2015-01-13 00:00:00,660
74,1,4,2015-01-14 00:00:00,850
75,1,4,2015-01-15 00:00:00,380
76,1,4,2015-01-16 00:00:00,0
77,1,4,2015-01-17 00:00:00,860
78,1,4,2015-01-18 00:00:00,0
79,1,4,2015-01-19 00:00:00,520
80,1,4,2015-01-20 00:00:00,0
81,1,5,2015-01-01 00:00:00,660
82,1,5,2015-01-02 00:00:00,0
83,1,5,2015-01-03 00:00:00,20
84,1,5,2015-01-04 00:00:00,0
85,1,5,2015-01-05 00:00:00,200
86,1,5,2015-01-06 00:00:00,370
87,1,5,2015-01-07 00:00:00,80
88,1,5,2015-01-08 00:00:00,880
89,1,5,2015-01-09 00:00:00,200
90,1,5,2015-01-10 00:00:00,370
91,1,5,2015-01-11 00:00:00,0
92,1,5,2015-01-12 00:00:00,870
93,1,5,2015-01-13 00:00:00,0
94,1,5,2015-01-14 00:00:00,500
95,1,5,2015-01-15 00:00:00,670
96,1,5,2015-01-16 00:00:00,0
97,1,5,2015-01-17 00:00:00,200
98,1,5,2015-01-18 00:00:00,0
99,1,5,2015-01-19 00:00:00,420
100,1,5,2015-01-20 00:00:00,150
101,1,6,2015-01-01 00:00:00,280
102,1,6,2015-01-02 00:00:00,690
103,1,6,2015-01-03 00:00:00,400
104,1,6,2015-01-04 00:00:00,290
105,1,6,2015-01-05 00:00:00,860
106,1,6,2015-01-06 00:00:00,150
107,1,6,2015-01-07 00:00:00,990
108,1,6,2015-01-08 00:00:00,440
109,1,6,2015-01-09 00:00:00,0
110,1,6,2015-01-10 00:00:00,540
111,1,6,2015-01-11 00:00:00,280
112,1,6,2015-01-12 00:00:00,550
113,1,6,2015-01-13 00:00:00,0
114,1,6,2015-01-14 00:00:00,180
115,1,6,2015-01-15 00:00:00,760
116,1,6,2015-01-16 00:00:00,0
117,1,6,2015-01-17 00:00:00,560
118,1,6,2015-01-18 00:00:00,0
119,1,6,2015-01-19 00:00:00,0
120,1,6,2015-01-20 00:00:00,680
121,1,7,2015-01-01 00:00:00,0
122,1,7,2015-01-02 00:00:00,680
123,1,7,2015-01-03 00:00:00,230
124,1,7,2015-01-04 00:00:00,80
125,1,7,2015-01-05 00:00:00,810
126,1,7,2015-01-06 00:00:00,680
127,1,7,2015-01-07 00:00:00,360
128,1,7,2015-01-08 00:00:00,0
129,1,7,2015-01-09 00:00:00,480
130,1,7,2015-01-10 00:00:00,450
131,1,7,2015-01-11 00:00:00,880
132,1,7,2015-01-12 00:00:00,0
133,1,7,2015-01-13 00:00:00,350
134,1,7,2015-01-14 00:00:00,740
135,1,7,2015-01-15 00:00:00,470
136,1,7,2015-01-16 00:00:00,690
137,1,7,2015-01-17 00:00:00,0
138,1,7,2015-01-18 00:00:00,0
139,1,7,2015-01-19 00:00:00,0
140,1,7,2015-01-20 00:00:00,0
141,1,8,2015-01-01 00:00:00,0
142,1,8,2015-01-02 00:00:00,0
143,1,8,2015-01-03 00:00:00,860
144,1,8,2015-01-04 00:00:00,120
145,1,8,2015-01-05 00:00:00,850
146,1,8,2015-01-06 00:00:00,690
147,1,8,2015-01-07 00:00:00,170
148,1,8,2015-01-08 00:00:00,540
149,1,8,2015-01-09 00:00:00,0
150,1,8,2015-01-10 00:00:00,770
151,1,8,2015-01-11 00:00:00,0
152,1,8,2015-01-12 00:00:00,340
153,1,8,2015-01-13 00:00:00,170
154,1,8,2015-01-14 00:00:00,0
155,1,8,2015-01-15 00:00:00,780
156,1,8,2015-01-16 00:00:00,0
157,1,8,2015-01-17 00:00:00,690
158,1,8,2015-01-18 00:00:00,430
159,1,8,2015-01-19 00:00:00,0
160,1,8,2015-01-20 00:00:00,560
161,1,9,2015-01-01 00:00:00,0
162,1,9,2015-01-02 00:00:00,0
163,1,9,2015-01-03 00:00:00,690
164,1,9,2015-01-04 00:00:00,750
165,1,9,2015-01-05 00:00:00,90
166,1,9,2015-01-06 00:00:00,0
167,1,9,2015-01-07 00:00:00,0
168,1,9,2015-01-08 00:00:00,0
169,1,9,2015-01-09 00:00:00,160
170,1,9,2015-01-10 00:00:00,0
171,1,9,2015-01-11 00:00:00,190
172,1,9,2015-01-12 00:00:00,520
173,1,9,2015-01-13 00:00:00,0
174,1,9,2015-01-14 00:00:00,840
175,1,9,2015-01-15 00:00:00,420
176,1,9,2015-01-16 00:00:00,960
177,1,9,2015-01-17 00:00:00,0
178,1,9,2015-01-18 00:00:00,890
179,1,9,2015-01-19 00:00:00,690
180,1,9,2015-01-20 00:00:00,0
181,1,10,2015-01-01 00:00:00,0
